speed11, distance11
164, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
166, 150.0
166, 150.0
164, 150.0
164, 150.0
164, 150.0
166, 150.0
166, 150.0
166, 150.0
162, 150.0
162, 150.0
162, 150.0
166, 150.0
166, 150.0
166, 150.0
189, 150.0
189, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
164, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
166, 150.0
166, 150.0
166, 150.0
166, 150.0
166, 150.0
164, 150.0
156, 150.0
158, 150.0
158, 150.0
149, 0.0
149, 0.0
145, 0.0
145, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
138, 0.0
138, 0.0
138, 0.0
135, 0.0
135, 0.0
135, 0.0
135, 0.0
135, 0.0
131, 0.0
131, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
135, 0.0
135, 0.0
135, 0.0
135, 0.0
135, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
135, 0.0
135, 0.0
135, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
128, 0.0
128, 0.0
128, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
138, 0.0
138, 0.0
138, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
138, 0.0
138, 0.0
138, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
130, 0.0
130, 0.0
130, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
130, 0.0
130, 0.0
130, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
135, 0.0
135, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
137, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
138, 0.0
138, 0.0
138, 0.0
145, 0.0
145, 0.0
145, 0.0
147, 0.0
147, 0.0
147, 0.0
147, 0.0
149, 0.0
149, 0.0
149, 0.0
156, 150.0
156, 150.0
156, 150.0
157, 150.0
157, 150.0
162, 150.0
162, 150.0
162, 150.0
164, 150.0
166, 150.0
166, 150.0
179, 150.0
179, 150.0
174, 150.0
174, 150.0
189, 150.0
189, 150.0
189, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
173, 150.0
173, 150.0
173, 150.0
174, 150.0
174, 150.0
174, 150.0
173, 150.0
173, 150.0
173, 150.0
174, 150.0
174, 150.0
172, 150.0
172, 150.0
172, 150.0
166, 150.0
166, 150.0
172, 150.0
172, 150.0
173, 150.0
173, 150.0
185, 150.0
185, 150.0
181, 150.0
185, 150.0
185, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
173, 150.0
173, 150.0
181, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
174, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
172, 150.0
172, 150.0
185, 150.0
185, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
185, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
185, 150.0
185, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
189, 150.0
189, 150.0
189, 150.0
181, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
173, 150.0
173, 150.0
185, 150.0
185, 150.0
185, 150.0
173, 150.0
173, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
185, 150.0
185, 150.0
185, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
181, 150.0
185, 150.0
185, 150.0
185, 150.0
174, 150.0
174, 150.0
181, 150.0
181, 150.0
181, 150.0
174, 150.0
174, 150.0
174, 150.0
185, 150.0
185, 150.0
179, 150.0
179, 150.0
179, 150.0
173, 150.0
173, 150.0
170, 150.0
170, 150.0
170, 150.0
166, 150.0
166, 150.0
158, 150.0
158, 150.0
158, 150.0
149, 0.0
149, 0.0
149, 0.0
139, 0.0
139, 0.0
149, 0.0
149, 0.0
149, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
138, 0.0
138, 0.0
138, 0.0
138, 0.0
138, 0.0
138, 0.0
138, 0.0
138, 0.0
139, 0.0
139, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
156, 150.0
156, 150.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
130, 0.0
130, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
135, 0.0
135, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
147, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
156, 150.0
156, 150.0
156, 150.0
139, 0.0
139, 0.0
139, 0.0
145, 0.0
145, 0.0
147, 0.0
147, 0.0
147, 0.0
147, 0.0
145, 0.0
145, 0.0
145, 0.0
154, 150.0
154, 150.0
154, 150.0
158, 150.0
158, 150.0
158, 150.0
166, 150.0
166, 150.0
174, 150.0
174, 150.0
174, 150.0
174, 150.0
183, 150.0
183, 150.0
179, 150.0
179, 150.0
181, 150.0
181, 150.0
181, 150.0
179, 150.0
179, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
172, 150.0
172, 150.0
173, 150.0
173, 150.0
166, 150.0
166, 150.0
166, 150.0
173, 150.0
173, 150.0
173, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
181, 150.0
181, 150.0
181, 150.0
175, 150.0
175, 150.0
175, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
185, 150.0
185, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
174, 150.0
174, 150.0
179, 150.0
179, 150.0
179, 150.0
183, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
170, 150.0
170, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
166, 150.0
166, 150.0
166, 150.0
173, 150.0
173, 150.0
173, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
175, 150.0
170, 150.0
170, 150.0
175, 150.0
175, 150.0
175, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
157, 150.0
157, 150.0
157, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
804, 150.0
804, 150.0
804, 150.0
804, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
1200, 150.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
170, 150.0
170, 150.0
179, 150.0
179, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
183, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
173, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
158, 150.0
158, 150.0
158, 150.0
158, 150.0
158, 150.0
158, 150.0
164, 150.0
164, 150.0
143, 0.0
143, 0.0
149, 0.0
149, 0.0
149, 0.0
145, 0.0
145, 0.0
145, 0.0
143, 0.0
143, 0.0
138, 0.0
138, 0.0
138, 0.0
147, 0.0
147, 0.0
147, 0.0
149, 0.0
149, 0.0
149, 0.0
138, 0.0
138, 0.0
138, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
135, 0.0
135, 0.0
135, 0.0
135, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
147, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
184, 150.0
184, 150.0
184, 150.0
184, 150.0
139, 0.0
139, 0.0
143, 0.0
179, 150.0
179, 150.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
135, 0.0
135, 0.0
135, 0.0
143, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
139, 0.0
139, 0.0
139, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
183, 150.0
183, 150.0
183, 150.0
147, 0.0
147, 0.0
147, 0.0
143, 0.0
143, 0.0
183, 150.0
183, 150.0
183, 150.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
143, 0.0
147, 0.0
147, 0.0
179, 150.0
179, 150.0
179, 150.0
179, 150.0
181, 150.0
181, 150.0
183, 150.0
183, 150.0
183, 150.0
149, 0.0
149, 0.0
147, 0.0
147, 0.0
147, 0.0
174, 150.0
174, 150.0
143, 0.0
143, 0.0
166, 150.0
166, 150.0
166, 150.0
173, 150.0
173, 150.0
166, 150.0
166, 150.0
130, 0.0
130, 0.0
170, 150.0
170, 150.0
130, 0.0
130, 0.0
126, 0.0
126, 0.0
121, 0.0
121, 0.0
120, 0.0
120, 0.0
120, 0.0
99, 0.0
99, 0.0
99, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
120, 0.0
120, 0.0
114, 0.0
114, 0.0
114, 0.0
118, 0.0
118, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
112, 0.0
112, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
114, 0.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
2550, 150.0
118, 0.0
118, 0.0
121, 0.0
121, 0.0
121, 0.0
122, 0.0
122, 0.0
128, 0.0
128, 0.0
128, 0.0
130, 0.0
130, 0.0
130, 0.0
130, 0.0
